"https://github.com/dmlloyd/openjdk, 7 281 728"
"https://github.com/scummvm/scummvm, 1 601 220"
"https://github.com/ruby/ruby, 786 117"
"https://github.com/rails/rails, 286 120"
"https://github.com/exoplatform/kernel, 93 541"
"https://github.com/Bukkit/Bukkit-JavaDoc, 65 567"
"https://github.com/osgcc/abuse, 46 044"
"https://github.com/thebravoman/software_engineering_2015, 38 120"
"https://github.com/eclipse/eclipse, 25 765"
"https://github.com/jmc2obj/j-mc-2-obj, 19 453"
"https://github.com/openplaces/bigrecord/tree/master/bigrecord, 15 564"
"https://github.com/rufatnadir/rubyhw, 6765"
"https://github.com/ryanb/ruby-warrior, 4192"
"https://github.com/heroku/heroku-buildpack-ruby, 3821"
"https://github.com/fmi/ruby-homework, 3547"
"https://github.com/nevercast/Minecraft-Bot,  3044"
"https://github.com/doanxuanhuy/HomeworkRuby, 1667"
"https://github.com/MarkCurtiss/ruby-quiz, 959"
"https://github.com/Copywright/big_data_intern, 677"
"https://github.com/rmmccann/Minecraft-Status-Query, 652"
"https://github.com/Aaronneyer/Pokemon, 549"
"https://github.com/Duke-PL-Course/Ruby, 544"
"https://github.com/blowmage/rubyhop, 517"
"https://github.com/ofcan/game-of-life-ruby, 450"
"https://github.com/joseairosa/ruby_flappy_bird, 437"
"https://github.com/yannvery/GosuFlappy, 393"
"https://github.com/jeffWelling/RubyQuiz, 357"
"https://github.com/syntacticsugar/Lovespell, 323"
"https://github.com/MarcelGabriel1993/SCUMM, 205"
"https://github.com/MineJava/MineJava-Server, 178"
"https://github.com/mark/company_ruby_quiz, 150"
"https://github.com/ga-wdi-boston/wdi_2_ruby_quiz_string_manipulation_2, 116"
"https://github.com/phlco/ruby_quiz, 111"
"https://github.com/phlco/ruby_quiz_2, 81"
"https://github.com/DutchPrime/java, 61"
"https://github.com/fourthespada/DisneyReservationManager, 43"

6 662 175 - JAVA
2 484 587 - C++
1 143 917 - RUBY
